"","Row_id","name","screen_size","specifications","model","price","rating","reviews"
"121",121,"Apple - Macbook® -","12","Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage (Latest Model) - Rose Gold","MNYM2LL/A",1299.99,4.8,646
"122",122,"Apple - MacBook Pro -","15","Display with Touch Bar - Intel Core i7 - 16GB Memory - AMD Radeon Pro 560 - 1TB SSD - Space Gray","MPTW2LL/A",2799.99,4.4,9
"123",123,"Microsoft - Surface Book 2 -","13.5","Touch-Screen PixelSense™ Display - Intel Core i7 / 16GB / 512GB dGPU - Silver","HNL-00001",2499,4.7,133
"124",124,"Lenovo - Yoga 720 2-in-1","15.6","4K Ultra HD Touch-Screen Laptop - Intel Quad Core i7 - 16GB Memory - 512GB SSD - Platinum Silver","80X7001SUS",1234.99,4.3,699
"125",125,"Apple - Macbook® -","12","Display - Intel Core M3 - 8GB Memory - 256GB Flash Storage (Latest Model) - Space Gray","MNYF2LL/A",1299.99,4.8,646
"126",126,"Apple - MacBook Pro -","13","Display with Touch Bar - Intel Core i5 - 8GB Memory - 256GB SSD(Latest Model) - Silver","MR9U2LL/A",1799.99,4.8,306
"127",127,"Google - Pixelbook","12.3","Touchscreen Chromebook - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Silver","GA00122-US",999,4.6,295
"128",128,"Dell - XPS 2-in-1","15.6","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - AMD Radeon RX Vega M - 256GB SSD - Black","XPS9575-7354BLK-PUS",1999.99,4.3,58
"129",129,"HP - ENVY x360 2-in-1","13.3","Touch-Screen Laptop - AMD Ryzen 7 - 8GB Memory - 256GB Solid State Drive - HP Finish In Dark Ash Silver","13M-AG0002DX",799.99,4.2,45
"130",130,"HP - Spectre x360 2-in-1","13.3","Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - HP finish in natural silver","13-AE011DX",1249.99,4.5,216
"131",131,"Microsoft - Surface Laptop –","13.5","Touch Screen - Intel Core i5 – 8GB Memory – 256GB Solid State Drive (First Generation) - Burgundy","DAG-00005",999,4.7,662
"132",132,"HP - Spectre x360 2-in-1","13.3","Privacy Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - HP finish in natural silver","13-AE014DX",1449.99,4.5,77
"133",133,"Samsung - Notebook 7 Spin 2-in-1","13.3","Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive - Stealth Silver","NP730QAA-K01US",899.99,4.7,92
"134",134,"Microsoft - Surface Book 2 -","13.5","Touch-Screen PixelSense™ Display - Intel Core i7 / 8GB / 256GB dGPU - Silver","HN4-00001",1999,4.8,150
"135",135,"Microsoft - Surface","13.5","Touch-Screen Laptop - Intel Core m3 - 4GB Memory - 128GB Solid State Drive (First Generation) - Platinum","DAP-00001",699,4.7,99
"136",136,"Apple - MacBook Pro®  -","13","Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Space Gray","MPXV2LL/A",1599.99,4.8,1885
"137",137,"Dell - Inspiron","15.6","Touch-Screen Laptop - Intel Core i7 - 12GB Memory - 1TB Hard Drive + 128GB Solid State Drive - Platinum Silver","I5570-7371SLV-PUS",820.99,4.8,15
"138",138,"Samsung - Notebook 9 Pro","13.3","Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 256GB Solid State Drive - Titan Silver","NP940X3N-K01US",1149.99,4.5,59
"139",139,"Lenovo - Legion Y530","15.6","Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB Hard Drive - Black","81FV0001US",929.99,4.1,55
"140",140,"Dell - 2-in-1","13.3","Touch-Screen Laptop - AMD Ryzen 7 - 12GB Memory - AMD Radeon RX Vega 10 - 256GB Solid State Drive - Era Gray","I7375-A446GRY-PUS",799.99,3.8,79
"141",141,"Dell - Inspiron","17.3","Laptop - Intel Core i7 - 16GB Memory - 2TB Hard Drive + 256GB Solid State Drive - Platinum Silver","I5770-7432SLV-PUS",999.99,4.5,44
"142",142,"Apple - MacBook Pro®  -","15","Display - Intel Core i7 - 16 GB Memory - 256GB Flash Storage - Silver","MPTU2LL/A",2199.99,4.8,1192
"143",143,"Dell - XPS","15.6","4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 32GB Memory - NVIDIA GeForce GTX 1050 Ti - 1TB SSD - Silver","XPS9570-7085SLV-PUS",2349.99,5,1
"144",144,"Razer - Blade Stealth","13.3","QHD+ Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Black","RZ09-02393E32-R3U1",1699.99,4.3,24
"145",145,"Alienware -","15.6","Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB Hard Drive + 128GB Solid State Drive - Black","AW15R4-7682BLK-PUS",1599.99,4.2,6
"146",146,"Apple - MacBook Pro®  -","13","Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage - Silver","MPXX2LL/A",1599.99,4.8,1885
"147",147,"Apple - MacBook Pro®  -","15","Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage - Space Gray","MPTT2LL/A",2599.99,4.8,936
